feature_set,target,fold,MAE,RMSE,MAPE,n
full,raw,1,3.241862219043463,5.193300347594405,67.19150705172834,981
full,raw,2,3.1921942931323795,5.311306210702416,83.56089978500421,995
full,raw,3,3.2417723148476845,4.963255128638138,80.3348765450283,1020
full,raw,4,5.8394770102478315,10.457307740590048,116.46825205562014,1055
full,raw,5,5.999333979768886,9.211685672666546,66.21670362295316,1152
full,raw,ALL,4.369592333307363,7.501379165137884,82.67445440554965,5203
full,cbrt,1,3.347592924237465,5.47350336399716,60.0938204087614,981
full,cbrt,2,2.873470646592025,4.460741933858499,65.98148190903903,995
full,cbrt,3,3.44411801391327,5.6300649637858005,65.16345518637226,1020
full,cbrt,4,5.347359568022729,11.319641127811261,71.32854347436694,1055
full,cbrt,5,6.684829906115922,10.416265407404053,56.905608912755724,1152
full,cbrt,ALL,4.420234618938512,8.103837398114756,63.78574119614456,5203
known_covariates_only,raw,1,3.2237817009533094,5.087250880945424,65.83708054754244,981
known_covariates_only,raw,2,2.835216991386222,4.1680826930312564,78.71864895263833,995
known_covariates_only,raw,3,3.323840765392079,4.935171698898542,90.61073538102141,1020
known_covariates_only,raw,4,7.668635873658962,11.542732772438272,157.8665429854522,1055
known_covariates_only,raw,5,6.9365215547796755,10.996863659759008,61.924340794368604,1152
known_covariates_only,raw,ALL,4.892402847122967,8.171153458775974,90.95141750113797,5203
known_covariates_only,cbrt,1,3.2872979205039328,5.321667317292231,59.67369902456991,981
known_covariates_only,cbrt,2,2.7802769317885243,4.135627562390427,66.551198874708,995
known_covariates_only,cbrt,3,3.38434555451932,5.253477164707716,75.64628832222571,1020
known_covariates_only,cbrt,4,5.654996567955553,10.019530969267066,104.25696795002663,1055
known_covariates_only,cbrt,5,7.820961218674739,12.29573689794573,57.49289255050947,1152
known_covariates_only,cbrt,ALL,4.693256962494724,8.237171871215017,72.67739171969494,5203
