decile,actual_mean_raw,pred_mean_raw,MAE_raw,bias_raw,n_raw,actual_mean_cbrt,pred_mean_cbrt,MAE_cbrt,bias_cbrt,n_cbrt
1,1.0882917466410749,4.710393211319899,3.6245167650096475,3.6221014646788245,521.0,1.0882917466410749,3.835591622217039,2.747299875575964,2.747299875575964,521.0
2,2.0,5.134152794801272,3.1361353223140425,3.1341527948012717,520.0,2.0,4.10939297408316,2.120116385887812,2.1093929740831596,520.0
3,2.980769230769231,5.107932884418047,2.268042825277035,2.1271636536488168,520.0,2.980769230769231,4.189966350414753,1.5339209961510083,1.2091971196455225,520.0
4,3.955769230769231,5.831069921300961,2.4002368168188974,1.8753006905317307,520.0,3.955769230769231,4.761416938916194,1.7427477592078262,0.8056477081469624,520.0
5,5.063339731285988,6.020570355733846,2.175562615357983,0.9572306244478573,521.0,5.063339731285988,4.980536964972294,1.8268055851329321,-0.08280276631369489,521.0
6,6.390384615384615,6.850124448996324,2.5826290809191192,0.45973983361170845,520.0,6.390384615384615,5.596509896823273,2.442400583539811,-0.7938747185613431,520.0
7,8.192307692307692,7.832825517654419,2.8967532891493577,-0.35948217465327337,520.0,8.192307692307692,6.338398899612001,3.021811981346958,-1.8539087926956912,520.0
8,11.121153846153845,9.260605012453519,4.736686893609854,-1.8605488337003269,520.0,11.121153846153845,7.530202134586607,4.999035656210527,-3.5909517115672385,520.0
9,16.0,12.65918971483524,7.9880158543586735,-3.3408102851647596,520.0,16.0,10.023686395965894,7.696932640253422,-5.976313604034106,520.0
10,34.24568138195777,20.1502784694225,17.09963649431254,-14.095402912535274,521.0,34.24568138195777,16.306655282559298,18.783655872322626,-17.939026099398475,521.0
