max_depth,learning_rate,train_MAE,backtest_MAE,backtest_RMSE,backtest_MAPE,gap(bt-train),best_iter
5,0.05,2.412881911103199,2.73513580688285,4.672768481848807,63.81752048583662,0.3222538957796508,128.75
6,0.05,2.3316779917718735,2.73781663339018,4.618010036787798,63.93763993473465,0.4061386416183064,124.5
4,0.05,2.4809764778577765,2.7639466250639986,4.7490493737259705,63.98438564306636,0.28297014720622204,153.5
6,0.1,2.414412401208014,2.7752434504614896,4.780508510836111,65.57721222860607,0.36083104925347564,41.75
3,0.05,2.559397840503375,2.7796874869853094,4.791968476729733,65.25393219678246,0.2202896464819344,177.25
5,0.1,2.4626100159297963,2.795891403119417,4.761274520594629,62.471800849434956,0.33328138718962075,53.25
8,0.1,2.2668640450123694,2.819718230487733,4.836014113938223,65.39388836295943,0.5528541854753635,30.25
8,0.05,2.2080975325299335,2.821331684496818,4.839951654210017,65.30944207768204,0.6132341519668847,74.75
4,0.1,2.428186173305896,2.8244100669384395,4.880320685050073,62.84863564245503,0.3962238936325435,114.5
3,0.1,2.553296557878565,2.87268746612194,4.973678029061715,63.59606230031669,0.319390908243375,97.25
